"Perfume","Category"
"Black Oud","Unisex, Woody, Smoky, Warm, Spicy, Dark"
"Cherry Noir","Unisex, Fruity, Sweet, Woody"
"Empress Charm","Feminine, Fruity, Floral, Sweet"
"Lychee Sunset","Unisex, Fruity, Sweet, Fresh, Citrus"
"Magnolia Magic","Feminine, Floral, Citrus, Musky, Fresh"
"Millionaire Aura","Masculine, Citrus, Woody, Earthy, Fresh"
"Mystic Oud","Masculine, Smoky, Woody, Earthy, Dark"
"Oud Night","Unisex, Woody, Rose, Floral, Smoky, Musky"
"Oudmazing","Unisex, Sweet, Fruity, Woody"
"Rosewood Romance","Unisex, Dark, Woody, Rose, Masculine"
"Smoke N Vanilla","Unisex, Smoky, Sweet, Earthy, Vanilla"
"Tobacco Spice","Unisex, Spicy, Smoky, Woody, Sweet"
"Twilight","Unisex, Fruity, Spicy, Sweet, Vanilla"
"Velvet Rose & Oud","Unisex, Floral, Woody, Rose"
